2020,5,16,1610,260
2020,6,11,1406,20
2020,10,15,1946,215
2020,6,5,986,266
2020,6,25,3341,142
2020,5,21,3109,142
2020,7,22,1886,192
2020,5,21,651,266
2020,4,20,3093,290
2020,7,12,265,125
2020,5,14,375,226
2020,7,23,1247,88
2020,6,1,3016,102
2020,6,7,1150,192
2020,5,7,1228,192
2020,5,7,2899,60
2020,1,16,3501,215
2020,4,19,3408,60
2020,9,5,1150,130
2020,7,15,3098,266
2020,11,21,1249,134
2020,5,15,1037,168
2020,7,27,551,233
2020,7,16,2808,60
2020,7,29,125,23
2020,7,4,1757,293
2020,8,30,1155,228
2020,6,5,732,264
2020,6,16,189,303
2020,4,7,1007,293
2020,9,22,2383,116
2020,10,15,1417,215
2020,6,8,2809,125
2020,10,21,3402,142
2020,7,15,1925,142
2020,1,22,2264,303
2020,11,4,2643,67
2020,5,29,1745,63
2020,6,2,2543,157
2020,8,15,651,263
2020,10,9,706,215
2020,6,2,1800,116
2020,10,9,930,134
2020,8,24,1402,233
2020,9,19,2337,266
2020,6,23,2528,260
2020,7,9,1934,260
2020,6,12,3011,311
2020,11,5,3247,303
2020,5,31,3098,266
2020,7,26,2242,264
2020,10,24,1162,67
2020,7,19,379,142
2020,3,12,1075,212
2020,5,11,2220,174
2020,4,28,966,261
2020,5,26,593,116
2020,11,21,155,18
2020,7,4,1511,142
2020,8,21,2617,264
2020,8,1,641,266
2020,2,15,2467,63
2020,1,7,275,192
2020,2,1,2295,303
2020,5,31,1223,142
2020,7,4,2393,226
2020,7,25,1957,142
2020,10,26,1239,266
2020,7,14,955,142
2020,8,21,3004,284
2020,8,18,3132,215
2020,9,10,1706,142
2020,9,15,1539,304
2020,2,3,639,309
2020,8,31,1150,20
2020,5,6,1011,116
2020,12,19,564,263
2020,5,10,3085,174
2020,3,4,1148,142
2020,6,30,2296,268
2020,8,1,1718,261
2020,11,25,1043,311
2020,7,8,839,60
2020,8,14,3521,116
2020,5,17,647,60
2020,8,27,2311,142
2020,11,18,3100,125
2020,7,31,100,142
2020,12,16,188,142
2020,8,18,909,168
2020,6,5,3121,116
2020,5,10,4,293
2020,1,7,1150,260
2020,8,11,1096,215
2020,6,5,3077,116
2020,8,5,1660,303
2020,7,30,3390,142
2020,6,11,2718,266
2020,8,24,310,192
2020,7,15,1772,202
2019,12,28,567,260
2020,4,20,100,67
2020,8,25,1715,162
2020,4,2,3327,174
2020,10,6,2628,260
2020,7,25,1036,142
2020,9,24,3164,212
2020,8,1,2685,215
2020,9,21,348,260
2020,5,16,729,63
2020,1,9,1238,290
2020,1,6,2023,125
2020,8,26,2979,215
2020,4,21,2616,63
2020,6,29,3173,116
2020,8,15,3395,293
2020,8,26,2547,142
2020,4,5,1294,116
2020,12,13,2331,293
2020,4,2,442,293
2020,5,24,1579,215
2020,8,18,47,142
2020,7,31,113,264
2020,2,14,1026,174
2020,2,29,2945,63
2019,12,29,1399,60
2020,11,20,1299,192
2020,9,7,330,60
2020,8,24,2197,212
2020,10,26,2681,226
2020,4,9,1402,303
2020,8,30,1811,116
2020,9,7,973,116
2020,5,17,1049,116
2020,4,19,1638,67
2020,12,13,450,142
2020,6,6,922,142
2020,11,12,2418,157
2020,6,18,1715,303
2020,7,25,3365,31
2020,8,28,1804,191
2020,8,24,3338,63
2020,4,11,3162,303
2020,11,7,2687,23
2020,1,5,651,233
2020,2,2,478,260
2020,7,17,3293,63
2020,9,2,3227,142
2020,8,29,379,142
2020,10,15,3490,60
2020,8,7,1450,142
2020,3,12,3559,63
2020,5,31,1513,20
2020,8,24,1148,54
2020,6,2,4,192
2020,6,5,2835,192
2020,6,25,739,226
2020,5,3,651,63
2020,9,5,1717,215
2020,7,24,2626,67
2020,2,3,1036,174
2020,12,1,1402,168
2020,3,7,1663,233
2020,4,29,1613,60
2020,10,10,1215,215
2020,10,16,2191,215
2020,6,30,1150,303
2020,10,20,651,261
2020,4,3,2408,303
2020,6,5,2893,116
2020,7,15,302,142
2020,7,15,761,260
2020,7,27,80,60
2020,7,11,3558,125
2020,9,11,930,279
2020,7,19,3410,266
2020,10,10,1298,192
2020,11,21,1181,142
2020,7,13,1570,260
2020,4,2,651,174
2020,8,26,2236,124
2020,10,31,2498,192
2020,6,24,606,200
2020,9,30,2612,192
2020,7,26,1997,264
2020,6,25,310,264
2020,4,23,1818,215
2020,12,24,13,20
2020,7,15,3111,63
